test,subtype,odds_ratio,ci_lower,ci_upper,p_value,p_corrected,n_lof_subtype,n_total_subtype,n_lof_others,n_total_others,significant,subtype_mean_af_nfe_log,control_mean,control_std,p_empirical,n_permutations,lof_pct,n_lof,n_total
fisher_lof_enrichment,ECM,0.32851916040824186,0.24804849200651422,0.4350957261715659,1.0,1.0,1706.0,2860.0,288.0,352.0,False,,,,,,,,
fisher_lof_enrichment,VERTEBRAL_DEV,5.639398819108964,3.2891305568047366,9.669065575755921,1.5378969888893806e-14,6.151587955557523e-14,131.0,146.0,1863.0,3066.0,True,,,,,,,,
fisher_lof_enrichment,NEUROMUSCULAR,2.107979142070051,1.4930274727115964,2.9762185523164453,5.9025586737331624e-06,2.361023469493265e-05,146.0,190.0,1848.0,3022.0,True,,,,,,,,
fisher_lof_enrichment,CILIARY,1.345738779626828,0.4664456930996157,3.8825803084534827,0.3928456841509634,1.0,11.0,16.0,1983.0,3196.0,False,,,,,,,,
permutation_af_nfe,ECM,,,,,,,,,,False,-5.917771267427655,-5.972666302927819,0.28618832202653566,0.5333333333333333,30.0,,,
permutation_af_nfe,VERTEBRAL_DEV,,,,,,,,,,False,-6.12917211860107,-5.972666302927819,0.28618832202653566,0.23333333333333334,30.0,,,
permutation_af_nfe,NEUROMUSCULAR,,,,,,,,,,False,-6.146469913014157,-5.972666302927819,0.28618832202653566,0.2,30.0,,,
permutation_af_nfe,CILIARY,,,,,,,,,,False,-6.111840163309802,-5.972666302927819,0.28618832202653566,0.3,30.0,,,
lof_fraction,ECM,,,,,,,,,,,,,,,,59.65034965034965,1706.0,2860.0
lof_fraction,VERTEBRAL_DEV,,,,,,,,,,,,,,,,89.72602739726028,131.0,146.0
lof_fraction,NEUROMUSCULAR,,,,,,,,,,,,,,,,76.84210526315789,146.0,190.0
lof_fraction,CILIARY,,,,,,,,,,,,,,,,68.75,11.0,16.0
