gene,n_variants,n_pathogenic,pct_rare,pct_lof,mean_review_stars,pct_missense,mean_gnomad_af_global_log,mean_gnomad_af_nfe_log,subtype,is_scoliosis
ADGRG6,9.0,5.0,100.0,77.77777777777779,1.1111111111111112,11.11111111111111,-5.954253223536919,-5.921625507774918,CILIARY,1
CHD7,153.0,102.0,100.0,82.35294117647058,0.9411764705882353,13.725490196078432,-6.1746662108754045,-6.177780620539955,NEUROMUSCULAR,1
COL11A1,267.0,136.0,100.0,68.91385767790263,1.0187265917602997,16.10486891385768,-5.8627463462800025,-5.866062047459548,ECM,1
COL11A2,197.0,127.0,100.0,84.77157360406092,1.116751269035533,10.65989847715736,-6.04246733665205,-6.039267796497105,ECM,1
COL1A1,838.0,621.0,100.0,62.29116945107399,1.0739856801909309,30.668257756563243,-5.9714976771484025,-5.966575490179561,ECM,1
COL5A1,383.0,278.0,100.0,77.54569190600522,1.08355091383812,8.87728459530026,-6.008499671828046,-6.01040294836793,ECM,1
DLL3,51.0,38.0,100.0,90.19607843137256,1.196078431372549,5.88235294117647,-6.018952545148382,-5.998255643861885,VERTEBRAL_DEV,1
DSCAM,6.0,3.0,100.0,66.66666666666666,0.6666666666666666,33.33333333333333,-6.273678174168858,-6.2491355071637615,CILIARY,1
FBN1,800.0,520.0,100.0,55.375,1.03125,36.375,-5.959605815235657,-5.961490734203494,ECM,1
FBN2,130.0,49.0,100.0,22.30769230769231,1.0153846153846153,63.84615384615384,-5.504227482451214,-5.51474087092039,ECM,1
LBX1,2.0,1.0,100.0,50.0,0.5,0.0,-6.321723437733121,-6.328193188064664,VERTEBRAL_DEV,1
MESP2,45.0,31.0,100.0,97.77777777777777,0.8444444444444444,0.0,-6.092000931521323,-6.090284295550753,VERTEBRAL_DEV,1
PAX1,23.0,15.0,100.0,86.95652173913044,0.782608695652174,8.695652173913043,-6.2114660226779055,-6.208139580338398,VERTEBRAL_DEV,1
POC5,1.0,1.0,100.0,0.0,1.0,100.0,-7.0,-7.0,CILIARY,1
ROBO3,37.0,16.0,100.0,54.054054054054056,0.972972972972973,43.24324324324324,-6.030860937151398,-6.01699590621829,NEUROMUSCULAR,1
TBX6,25.0,16.0,100.0,80.0,0.92,8.0,-6.411999216397771,-6.377668058204147,VERTEBRAL_DEV,1
TGFBR1,115.0,61.0,100.0,37.391304347826086,1.0956521739130434,48.69565217391305,-5.651614446069035,-5.6528881389129495,ECM,1
TGFBR2,130.0,71.0,100.0,16.153846153846153,1.2307692307692308,82.3076923076923,-5.619263385562645,-5.620660582374143,ECM,1
A-GAMMA3'E,6.0,6.0,100.0,0.0,0.0,0.0,-5.415743194394791,-5.467746792855348,CONTROL,0
A1BG,2.0,2.0,100.0,0.0,0.0,0.0,-4.907671336687724,-4.947312712645068,CONTROL,0
A1CF,2.0,2.0,100.0,0.0,0.0,0.0,-5.506129731485108,-5.517285894563372,CONTROL,0
A2M,18.0,17.0,100.0,0.0,0.5,0.0,-5.914105570896277,-5.946561599436009,CONTROL,0
A2ML1-AS2,2.0,2.0,100.0,0.0,1.0,0.0,-6.131478297656157,-5.99756307014213,CONTROL,0
A4GALT,3.0,3.0,100.0,0.0,0.3333333333333333,0.0,-5.655063311211118,-5.742210474549297,CONTROL,0
AAAS,1.0,1.0,100.0,0.0,0.0,0.0,-5.544870230654896,-5.632283582323371,CONTROL,0
AADAC,1.0,1.0,100.0,0.0,1.0,0.0,-7.0,-7.0,CONTROL,0
AADACL3,16.0,13.0,100.0,0.0,0.5,0.0,-5.93943482198262,-5.870302072654495,CONTROL,0
AADACL4,1.0,1.0,100.0,0.0,0.0,0.0,-5.818566668060832,-5.957334618816348,CONTROL,0
AADAT,13.5,13.5,100.0,0.0,0.62,0.0,-5.863071775612096,-5.831962955821981,CONTROL,0
AAGAB,3.5,3.5,100.0,0.0,0.41666666666666663,0.0,-5.588533657001852,-5.657878118543705,CONTROL,0
AAK1,3.5,2.0,100.0,0.0,0.29166666666666663,0.0,-5.88801461913604,-5.84491156626825,CONTROL,0
AAR2,3.0,3.0,100.0,0.0,0.3333333333333333,0.0,-4.736186704448049,-4.796854266519349,CONTROL,0
AARD,6.5,6.5,100.0,0.0,0.31666666666666665,0.0,-6.209986856970078,-6.142882741783653,CONTROL,0
AARS1,3.0,2.0,100.0,0.0,0.3333333333333333,0.0,-6.155029725266603,-6.1981374565721,CONTROL,0
AARS2,1.0,1.0,100.0,0.0,0.0,0.0,-4.966839075950562,-4.8361715747447525,CONTROL,0
AASDH,1.0,1.0,100.0,0.0,0.0,0.0,-6.279820701530931,-6.334336092840134,CONTROL,0
AASS,2.0,2.0,100.0,0.0,0.0,0.0,-6.356700463949238,-6.501167210963319,CONTROL,0
AATBC,14.0,14.0,100.0,0.0,0.5,0.0,-5.60232516896624,-5.625869274270988,CONTROL,0
AATF,2.0,2.0,100.0,0.0,0.5,0.0,-3.119812326376107,-3.1151536440654537,CONTROL,0
ABAT,5.5,5.5,100.0,0.0,0.08333333333333333,0.0,-5.77784712101974,-5.751690705297838,CONTROL,0
ABCA1,6.5,6.5,100.0,0.0,0.6190476190476191,0.0,-5.934610530436913,-5.923958383905983,CONTROL,0
ABCA10,3.0,3.0,100.0,0.0,0.0,0.0,-5.327013123013338,-5.388368034782278,CONTROL,0
ABCA2,5.0,5.0,100.0,0.0,0.4,0.0,-5.922820283033561,-5.880883022914884,CONTROL,0
ABCA3,7.5,7.0,100.0,0.0,0.4,0.0,-6.3998777643970755,-6.365306845291303,CONTROL,0
ABCA4,1.0,1.0,100.0,0.0,1.0,0.0,-6.293759520678663,-6.454342543726282,CONTROL,0
ABCA6,1.0,1.0,100.0,0.0,0.0,0.0,-6.639180764522427,-6.359010220637544,CONTROL,0
ABCA7,7.0,6.0,100.0,0.0,0.42857142857142855,0.0,-5.760953783951448,-5.747142269663523,CONTROL,0
ABCB10,7.5,7.5,100.0,0.0,0.23076923076923078,0.0,-6.031211861526867,-5.9749109475225755,CONTROL,0
ABCB7,13.5,13.5,100.0,0.0,0.1813186813186813,0.0,-5.76934186403226,-5.7775385820046825,CONTROL,0
ABCB8,28.0,26.0,100.0,0.0,0.5,0.0,-5.728600164864355,-5.721422068928761,CONTROL,0
ABCC11,1.0,1.0,100.0,0.0,0.0,0.0,-6.298185893896966,-6.252454738140201,CONTROL,0
ABCC2,4.0,4.0,100.0,0.0,0.75,0.0,-5.946579033709133,-6.0077838884445915,CONTROL,0
ABCC3,4.0,4.0,100.0,0.0,0.5,0.0,-6.701836116607403,-6.704922424251482,CONTROL,0
ABCC5,6.0,5.0,100.0,0.0,0.3333333333333333,0.0,-5.1081531979613874,-5.133444870431245,CONTROL,0
ABCC8,4.0,4.0,100.0,0.0,0.0,0.0,-6.1999621104865765,-6.217912606732862,CONTROL,0
ABCD1,27.0,26.5,100.0,0.0,0.7307692307692308,0.0,-5.262374198446521,-5.276778038344402,CONTROL,0
ABCE1,1.0,1.0,100.0,0.0,1.0,0.0,-4.606601414648434,-4.506401030879694,CONTROL,0
ABCF1,1.0,0.0,100.0,0.0,1.0,0.0,-5.938617028510605,-5.558111168383225,CONTROL,0
ABCG1,13.0,13.0,100.0,0.0,0.606060606060606,0.0,-5.944408898417862,-5.944004904181672,CONTROL,0
ABCG4,10.0,10.0,100.0,0.0,0.4,0.0,-5.8654675194376305,-5.9141723752705975,CONTROL,0
ABHD16A,1.0,0.0,100.0,0.0,1.0,0.0,-4.606944073288964,-4.543420947913641,CONTROL,0
ABHD17A,2.0,2.0,100.0,0.0,0.5,0.0,-6.217947176006349,-6.1918986999530095,CONTROL,0
ABHD17B,3.0,2.0,100.0,0.0,0.3333333333333333,0.0,-5.025100355016405,-5.024707040886458,CONTROL,0
ABHD17C,3.0,2.0,100.0,0.0,0.6666666666666666,0.0,-5.099014117199747,-5.174638329662406,CONTROL,0
ABHD18,6.0,6.0,100.0,0.0,0.6666666666666666,0.0,-6.051309382595766,-6.0229083627120925,CONTROL,0
ABHD4,11.0,11.0,100.0,0.0,0.6363636363636364,0.0,-5.360548917748987,-5.4253585130848885,CONTROL,0
ABHD6,2.0,2.0,100.0,0.0,0.5,0.0,-6.575909357558167,-6.6500605021839245,CONTROL,0
ABI1,1.5,1.5,100.0,0.0,0.25,0.0,-4.956441855384268,-5.034940835553996,CONTROL,0
ABL1,2.0,1.0,100.0,0.0,1.0,0.0,-4.853554825388489,-4.864895050505553,CONTROL,0
ABL2,1.0,1.0,100.0,0.0,0.0,0.0,-5.782084898835335,-5.834649823947076,CONTROL,0
ABLIM3,1.5,1.5,100.0,0.0,0.0,0.0,-6.195739743638516,-6.213043178471227,CONTROL,0
ABR,13.0,13.0,100.0,0.0,0.46153846153846156,0.0,-6.288747868621683,-6.291273798044875,CONTROL,0
ABTB2,6.0,6.0,100.0,0.0,0.3333333333333333,0.0,-5.8506980855363935,-5.864327347293847,CONTROL,0
ACADM,12.0,10.0,100.0,0.0,0.3333333333333333,0.0,-5.663368884372789,-5.633700771535252,CONTROL,0
ACAP2,5.0,5.0,100.0,0.0,0.2,0.0,-5.499713703000124,-5.509648611123912,CONTROL,0
ACAP3,2.0,2.0,100.0,0.0,0.5,0.0,-5.93753025484206,-5.9842520697697905,CONTROL,0
ACBD3,1.0,1.0,100.0,0.0,1.0,0.0,-7.0,-7.0,CONTROL,0
ACBD6,1.0,1.0,100.0,0.0,1.0,0.0,-6.185463631706661,-6.148267064575873,CONTROL,0
ACBD7,3.0,3.0,100.0,0.0,0.3333333333333333,0.0,-5.99270774584805,-6.019498132120355,CONTROL,0
ACD,3.0,2.5,100.0,0.0,0.2,0.0,-4.640299168975388,-4.757214679617788,CONTROL,0
ACE,3.0,3.0,100.0,0.0,1.0,0.0,-5.565015990296707,-5.522408381766707,CONTROL,0
ACE2,6.0,6.0,100.0,0.0,0.16666666666666666,0.0,-6.229297368146728,-6.230975675458528,CONTROL,0
ACER1,1.5,1.5,100.0,0.0,0.75,0.0,-6.036206511763062,-6.086003413805335,CONTROL,0
ACER2,19.0,17.0,100.0,0.0,0.3684210526315789,0.0,-5.889577129072756,-5.90592711038056,CONTROL,0
ACKR1,4.0,3.0,100.0,10.0,0.6333333333333333,0.0,-5.641826887282244,-5.635166234250976,CONTROL,0
ACMSD,4.0,4.0,100.0,0.0,0.0,0.0,-5.498333579320808,-5.488452050417478,CONTROL,0
ACO1,2.0,1.0,100.0,0.0,0.5,0.0,-6.6553060729250415,-6.685192231264313,CONTROL,0
ACOT7,2.0,2.0,100.0,0.0,1.0,0.0,-7.0,-7.0,CONTROL,0
ACOT8,1.0,0.0,100.0,0.0,0.0,0.0,-7.0,-7.0,CONTROL,0
ACOXL,1.0,1.0,100.0,0.0,1.0,0.0,-4.5147798271909,-4.533624472093837,CONTROL,0
ACP1,1.5,1.5,100.0,0.0,0.0,0.0,-5.645054718765334,-5.720030892970844,CONTROL,0
ACP5,3.0,2.0,100.0,0.0,0.3333333333333333,0.0,-5.627808221704886,-5.619491879915095,CONTROL,0
ACP6,2.0,2.0,100.0,0.0,1.0,0.0,-6.073294353786565,-6.069621749001236,CONTROL,0
ACP7,1.0,1.0,100.0,0.0,0.0,0.0,-5.4160160067847585,-5.5327487297480875,CONTROL,0
ACSL1,42.0,39.0,100.0,0.0,0.5,0.0,-5.713929536913217,-5.723517827680199,CONTROL,0
ACSL5,1.0,1.0,100.0,0.0,1.0,0.0,-5.38269066507898,-5.591688694659077,CONTROL,0
ACSM2A,1.0,1.0,100.0,100.0,0.0,0.0,-6.49363531728334,-6.443359100227379,CONTROL,0
ACTA1,1.0,1.0,100.0,0.0,1.0,0.0,-5.976183090829478,-6.008681990503638,CONTROL,0
ACTA2,1.0,1.0,100.0,0.0,0.0,0.0,-7.0,-7.0,CONTROL,0
ACTG2,3.0,2.0,100.0,0.0,1.0,0.0,-6.499856359645863,-6.5316840221446695,CONTROL,0
ACTL7A,7.0,6.0,100.0,42.857142857142854,0.14285714285714285,57.14285714285714,-6.027228268649282,-6.037289193328661,CONTROL,0
ACTL8,2.0,2.0,100.0,0.0,1.0,0.0,-4.540092986522108,-4.614746720243474,CONTROL,0
ACTN2,7.0,7.0,100.0,0.0,0.2857142857142857,0.0,-6.595100557457139,-6.593295720432839,CONTROL,0
ACTN3,3.0,2.0,100.0,0.0,0.5,0.0,-6.0380974349099965,-5.990791998120668,CONTROL,0
ACTR1A,1.0,1.0,100.0,0.0,1.0,0.0,-5.264716925944077,-5.214829546724352,CONTROL,0
ACTR3C,2.0,2.0,100.0,0.0,1.0,0.0,-5.607109103382816,-5.738301000102524,CONTROL,0
ACTRT3,1.0,1.0,100.0,0.0,0.0,0.0,-5.207864302803396,-5.214493328388438,CONTROL,0
ACY3,2.0,1.0,100.0,0.0,0.5,0.0,-6.889193818933481,-6.986427749527741,CONTROL,0
ADA2,4.0,4.0,100.0,0.0,0.5,0.0,-5.4665700226537925,-5.545793775122522,CONTROL,0
ADAM18,20.0,20.0,100.0,0.0,0.55,0.0,-5.807175039432285,-5.82735681966144,CONTROL,0
ADAM28,26.0,24.5,100.0,0.0,0.4222222222222222,0.0,-5.707206431153148,-5.699497244361583,CONTROL,0
ADAM29,1.0,0.0,100.0,0.0,1.0,0.0,-6.670949741159417,-6.807193650292402,CONTROL,0
ADAMDEC1,1.0,1.0,100.0,0.0,1.0,0.0,-5.231221358016509,-5.27460776397382,CONTROL,0
ADAMTS1,17.0,13.0,100.0,0.0,0.5882352941176471,5.88235294117647,-5.648505879316016,-5.602053334128661,CONTROL,0
ADAMTS12,5.0,5.0,100.0,0.0,0.4,0.0,-5.52600730684332,-5.571817815836665,CONTROL,0
ADAMTS14,3.0,3.0,100.0,0.0,0.6666666666666666,0.0,-7.0,-7.0,CONTROL,0
ADAMTS16,65.0,65.0,100.0,0.0,0.46153846153846156,0.0,-5.825739267327295,-5.845922713427057,CONTROL,0
ADAMTS2,9.0,8.0,100.0,0.0,0.1111111111111111,0.0,-5.0747181309119345,-5.003958305028927,CONTROL,0
ADAMTS9,2.0,2.0,100.0,0.0,0.5,0.0,-6.134991631122521,-6.164914637580577,CONTROL,0
ADAMTSL1,1.0,1.0,100.0,0.0,0.0,0.0,-5.881712628113974,-5.740132205898606,CONTROL,0
ADARB2,10.0,9.0,100.0,0.0,0.2,0.0,-5.508565297402518,-5.501596762142651,CONTROL,0
ADCY2,3.0,2.0,100.0,0.0,0.0,0.0,-5.526299398181767,-5.582804278206713,CONTROL,0
ADCY9,5.0,5.0,100.0,0.0,0.4,0.0,-5.7861818073486,-5.74690001425107,CONTROL,0
ADGRA2,3.0,2.0,100.0,0.0,1.0,0.0,-5.532356366973127,-5.558159019207334,CONTROL,0
ADGRB1,2.0,2.0,100.0,0.0,1.0,0.0,-6.3980585754269566,-6.451400811373852,CONTROL,0
ADGRE1,1.0,1.0,100.0,0.0,1.0,0.0,-6.04139437424707,-6.145598723543929,CONTROL,0
ADGRE2,3.0,3.0,100.0,0.0,0.3333333333333333,0.0,-4.40473781318795,-4.3817069158210575,CONTROL,0
ADGRE5,2.0,1.0,100.0,0.0,0.0,0.0,-5.387694044631001,-5.4908022874915385,CONTROL,0
ADGRG1,3.0,2.0,100.0,0.0,1.0,0.0,-5.897511934590203,-5.936727157980537,CONTROL,0
ADGRL3,1.5,1.5,100.0,0.0,0.0,0.0,-5.827076516909951,-5.796904800458699,CONTROL,0
ADIPOR1,2.0,1.0,100.0,0.0,1.0,0.0,-3.8044629371710172,-3.7588613236712423,CONTROL,0
ADK,2.0,2.0,100.0,0.0,0.5,0.0,-6.5462882876567505,-6.51783170302141,CONTROL,0
ADORA2A,28.0,21.0,100.0,0.0,0.42857142857142855,0.0,-5.620039074206727,-5.648429469324485,CONTROL,0
ADPGK,15.0,13.0,100.0,0.0,0.4666666666666667,0.0,-6.159425377131047,-6.155591202665178,CONTROL,0
ADRB3,1.0,1.0,100.0,0.0,1.0,0.0,-7.0,-7.0,CONTROL,0
ADSS2,19.0,16.0,100.0,0.0,0.5789473684210527,0.0,-6.124948885413528,-6.173647681473867,CONTROL,0
ADTRP,12.0,12.0,100.0,0.0,0.4166666666666667,0.0,-6.13409568483504,-6.167773688455772,CONTROL,0
AFF2,1.0,1.0,100.0,0.0,0.0,0.0,-5.924287613480513,-5.867809664244512,CONTROL,0
AFP,1.5,1.5,100.0,0.0,1.0,0.0,-6.004899459981715,-5.996308438898785,CONTROL,0
AGAP2,5.0,3.0,100.0,0.0,0.6,0.0,-5.2998351664457335,-5.26370974175355,CONTROL,0
AGMAT,1.0,0.0,100.0,0.0,0.0,0.0,-6.558450489421038,-6.662552845053141,CONTROL,0
AGPAT5,34.5,33.0,100.0,0.0,0.367827868852459,0.0,-5.726678185021401,-5.705337477843235,CONTROL,0
AGRP,1.0,1.0,100.0,0.0,1.0,0.0,-7.0,-7.0,CONTROL,0
AGTRAP,3.0,2.0,100.0,0.0,0.3333333333333333,0.0,-6.511418939701336,-6.543034759705598,CONTROL,0
